Date,Series,Open,High,Low,Prev_Close,Ltp,Close,Vwap,52W_H,52W_L,Volume,Value,No_Of_Trades,Day,Month,Year,Percent_Change_In_Price,Momentum_Indicator,High_Low_Change,High_Open_Change,Low_Open_Change
2019-09-11,GB,3740.0,3740.0,3650.0,3706.0,3650.0,3650.0,3734.4,3800.0,2515.04,35,130704.0,4,11,9,2019,0.0,-0.02406417112299465,0.024657534246575342,0.0,-0.02406417112299465
2019-09-09,GB,3699.99,3706.0,3699.99,3611.25,3706.0,3706.0,3700.28,3800.0,2515.04,42,155411.6,2,9,9,2019,0.015342465753424683,0.00162432871440199,0.00162432871440199,0.00162432871440199,0.0
2019-09-04,GB,3701.0,3701.0,3611.25,3601.25,3611.25,3611.25,3660.16,3800.0,2515.04,100,366016.25,4,4,9,2019,-0.02556664867781977,-0.02425020264793299,0.02485289027345102,0.0,-0.02425020264793299
2019-08-30,GB,3601.25,3601.25,3601.25,3800.0,3601.25,3601.25,3601.25,3800.0,2511.29,1,3601.25,1,30,8,2019,-0.002769124264451417,0.0,0.0,0.0,0.0
2019-08-29,GB,3775.0,3800.0,3775.0,3724.0,3800.0,3800.0,3783.33,3800.0,2511.29,3,11350.0,2,29,8,2019,0.055189170426935164,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.0
2019-08-27,GB,3724.0,3724.0,3724.0,3600.0,3724.0,3724.0,3724.0,3724.0,2511.29,10,37240.0,2,27,8,2019,-0.020000000000000018,0.0,0.0,0.0,0.0
2019-08-23,GB,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,2511.29,35,126000.0,2,23,8,2019,-0.03329752953813103,0.0,0.0,0.0,0.0
2019-08-22,GB,3425.0,3600.0,3420.0,3405.01,3600.0,3600.0,3533.18,3600.0,2511.29,44,155460.0,5,22,8,2019,0.0,0.051094890510948905,0.05263157894736842,0.051094890510948905,-0.00145985401459854
2019-08-21,GB,3351.0,3520.0,3351.0,3470.0,3405.01,3405.01,3405.84,3520.0,2511.29,44,149857.1,10,21,8,2019,-0.05416388888888879,0.01611757684273358,0.05043270665472993,0.05043270665472993,0.0
2019-08-16,GB,3469.0,3470.0,3469.0,3445.0,3470.0,3470.0,3469.5,3470.0,2511.29,2,6939.0,2,16,8,2019,0.019086581243520584,0.0002882675122513693,0.0002882675122513693,0.0002882675122513693,0.0
2019-08-14,GB,3445.0,3445.0,3445.0,3447.0,3445.0,3445.0,3445.0,3447.0,2511.29,50,172250.0,2,14,8,2019,-0.007204610951008661,0.0,0.0,0.0,0.0
2019-08-13,GB,3445.0,3447.0,3445.0,3375.0,3447.0,3447.0,3446.89,3447.0,2511.29,35,120641.0,3,13,8,2019,0.0005805515239476478,0.0005805515239477503,0.0005805515239477503,0.0005805515239477503,0.0
2019-08-09,GB,3435.0,3435.0,3375.0,3429.99,3375.0,3375.0,3425.0,3440.0,2511.29,6,20550.0,3,9,8,2019,-0.02088772845953002,-0.017467248908296942,0.017777777777777778,0.0,-0.017467248908296942
2019-08-08,GB,3440.0,3440.0,3400.0,3400.0,3429.99,3429.99,3430.79,3440.0,2511.29,38,130369.93,5,8,8,2019,0.01629333333333327,-0.002909883720930296,0.011764705882352941,0.0,-0.011627906976744186
2019-08-07,GB,3370.0,3429.0,3360.0,3334.72,3400.0,3400.0,3388.86,3429.0,2511.29,72,243998.0,11,7,8,2019,-0.008743465724389776,0.008902077151335312,0.020535714285714286,0.017507418397626113,-0.002967359050445104
2019-08-06,GB,3260.0,3389.0,3260.0,3300.01,3389.0,3334.72,3290.05,3389.0,2511.29,82,269783.99,10,6,8,2019,-0.019200000000000106,0.022920245398772944,0.039570552147239264,0.039570552147239264,0.0
2019-08-05,GB,3255.0,3310.0,3255.0,3255.0,3300.01,3300.01,3281.28,3339.0,2511.29,78,255940.04,4,5,8,2019,-0.010408669993282715,0.013827956989247379,0.016897081413210446,0.016897081413210446,0.0
2019-07-31,GB,3259.99,3259.99,3205.0,3279.99,3255.0,3255.0,3255.09,3339.0,2511.29,52,169264.89,4,31,7,2019,-0.013639352608022515,-0.0015306795419617184,0.017157566302652038,0.0,-0.016868149902300247
2019-07-26,GB,3279.99,3279.99,3279.99,3339.0,3279.99,3279.99,3279.99,3339.0,2511.29,2,6559.98,1,26,7,2019,0.007677419354838566,0.0,0.0,0.0,0.0
2019-07-22,GB,3240.0,3339.0,3240.0,3240.0,3339.0,3339.0,3326.63,3339.0,2511.29,8,26613.0,3,22,7,2019,0.01799090850886742,0.030555555555555555,0.030555555555555555,0.030555555555555555,0.0
2019-07-19,GB,3245.0,3245.0,3240.0,3245.0,3240.0,3240.0,3242.79,3300.0,2511.29,113,366435.0,11,19,7,2019,-0.029649595687331498,-0.0015408320493066256,0.0015432098765432098,0.0,-0.0015408320493066256
2019-07-18,GB,3245.0,3245.0,3245.0,3220.0,3245.0,3245.0,3245.0,3300.0,2511.29,2,6490.0,1,18,7,2019,0.0015432098765431057,0.0,0.0,0.0,0.0
2019-07-16,GB,3150.0,3220.0,3150.0,3150.0,3220.0,3220.0,3187.44,3300.0,2511.29,43,137060.0,3,16,7,2019,-0.007704160246533087,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.0
2019-07-11,GB,3150.0,3150.0,3150.0,3150.0,3150.0,3150.0,3150.0,3300.0,2511.29,30,94500.0,1,11,7,2019,-0.021739130434782594,0.0,0.0,0.0,0.0
2019-07-09,GB,3090.0,3150.0,3090.0,3100.0,3150.0,3150.0,3105.0,3300.0,2511.29,4,12420.0,2,9,7,2019,0.0,0.019417475728155338,0.019417475728155338,0.019417475728155338,0.0
2019-07-04,GB,3100.0,3100.0,3100.0,2901.0,3100.0,3100.0,3100.0,3300.0,2511.29,1,3100.0,1,4,7,2019,-0.015873015873015928,0.0,0.0,0.0,0.0
