"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Aug-2023","GB","5,874.29","5,874.29","5,874.29","5,874.00","5,874.29","5,874.29","5,874.29","6,100.01","4,875.02","1","5,874.29","1"
"03-Aug-2023","GB","5,873.99","5,874.00","5,873.99","5,873.99","5,874.00","5,874.00","5,874.00","6,100.01","4,875.02","89","5,22,785.72","3"
"02-Aug-2023","GB","5,874.00","5,874.00","5,873.99","5,900.00","5,873.99","5,873.99","5,873.99","6,100.01","4,875.02","33","1,93,841.73","7"
"27-Jul-2023","GB","5,900.00","5,900.00","5,900.00","5,850.00","5,900.00","5,900.00","5,900.00","6,100.01","4,875.02","26","1,53,400.00","3"
"25-Jul-2023","GB","5,850.00","5,850.00","5,850.00","5,811.24","5,850.00","5,850.00","5,850.00","6,100.01","4,875.02","22","1,28,700.00","3"
"19-Jul-2023","GB","5,811.24","5,811.24","5,811.24","5,859.00","5,811.24","5,811.24","5,811.24","6,100.01","4,875.00","1","5,811.24","1"
"17-Jul-2023","GB","5,860.00","5,860.00","5,859.00","5,859.00","5,859.00","5,859.00","5,859.91","6,100.01","4,875.00","11","64,459.00","6"
"13-Jul-2023","GB","5,859.00","5,859.00","5,859.00","5,859.00","5,859.00","5,859.00","5,859.00","6,100.01","4,851.00","25","1,46,475.00","10"
"11-Jul-2023","GB","5,859.00","5,859.00","5,859.00","5,800.00","5,859.00","5,859.00","5,859.00","6,100.01","4,851.00","21","1,23,039.00","3"
"04-Jul-2023","GB","5,803.08","5,803.08","5,800.00","5,802.03","5,800.00","5,800.00","5,800.93","6,100.01","4,851.00","40","2,32,037.25","11"
"03-Jul-2023","GB","5,802.03","5,802.03","5,802.03","5,852.25","5,802.03","5,802.03","5,802.03","6,100.01","4,851.00","1","5,802.03","1"
"30-Jun-2023","GB","5,852.25","5,852.25","5,852.25","5,852.25","5,852.25","5,852.25","5,852.25","6,100.01","4,851.00","20","1,17,045.00","1"
"23-Jun-2023","GB","5,875.00","5,875.00","5,852.25","5,851.55","5,852.25","5,852.25","5,866.19","6,100.01","4,851.00","8","46,929.50","4"
"21-Jun-2023","GB","5,851.55","5,851.55","5,851.55","5,999.00","5,851.55","5,851.55","5,851.55","6,100.01","4,851.00","10","58,515.50","2"
"19-Jun-2023","GB","5,999.00","5,999.00","5,999.00","6,025.00","5,999.00","5,999.00","5,999.00","6,100.01","4,851.00","2","11,998.00","1"
"15-Jun-2023","GB","6,000.00","6,025.00","6,000.00","6,000.00","6,025.00","6,025.00","6,001.47","6,100.01","4,851.00","17","1,02,025.00","5"
"12-Jun-2023","GB","6,000.00","6,000.00","6,000.00","5,999.00","6,000.00","6,000.00","6,000.00","6,100.01","4,851.00","1","6,000.00","1"
"09-Jun-2023","GB","5,950.00","5,999.00","5,950.00","5,950.00","5,999.00","5,999.00","5,951.32","6,100.01","4,851.00","37","2,20,199.00","2"
"06-Jun-2023","GB","5,950.00","5,950.00","5,950.00","5,950.00","5,950.00","5,950.00","5,950.00","6,100.01","4,851.00","12","71,400.00","3"
"05-Jun-2023","GB","5,950.00","5,950.00","5,950.00","5,950.00","5,950.00","5,950.00","5,950.00","6,100.01","4,851.00","1","5,950.00","1"
"02-Jun-2023","GB","5,950.00","5,951.00","5,950.00","5,901.00","5,950.00","5,950.00","5,950.07","6,100.01","4,851.00","15","89,251.00","7"
"31-May-2023","GB","5,901.00","5,901.00","5,901.00","5,950.00","5,901.00","5,901.00","5,901.00","6,100.01","4,851.00","10","59,010.00","2"
"30-May-2023","GB","5,950.01","5,950.01","5,950.00","5,945.00","5,950.00","5,950.00","5,950.01","6,100.01","4,851.00","6","35,700.05","2"
"26-May-2023","GB","6,000.00","6,000.00","5,945.00","5,900.00","5,945.00","5,945.00","5,952.86","6,100.01","4,851.00","35","2,08,350.00","3"
"25-May-2023","GB","5,904.00","5,904.00","5,900.00","5,920.00","5,900.00","5,900.00","5,900.40","6,100.01","4,851.00","100","5,90,040.00","5"
"23-May-2023","GB","5,920.00","5,920.00","5,920.00","6,093.00","5,920.00","5,920.00","5,920.00","6,100.01","4,851.00","1","5,920.00","1"
"22-May-2023","GB","6,090.00","6,093.00","6,090.00","5,948.00","6,093.00","6,093.00","6,092.25","6,100.01","4,851.00","4","24,369.00","2"
"19-May-2023","GB","5,948.00","5,948.00","5,948.00","5,950.00","5,948.00","5,948.00","5,948.00","6,100.01","4,830.05","2","11,896.00","2"
"17-May-2023","GB","5,950.00","5,950.00","5,950.00","6,075.00","5,950.00","5,950.00","5,950.00","6,100.01","4,830.05","5","29,750.00","2"
"09-May-2023","GB","6,075.00","6,075.00","6,075.00","6,050.00","6,075.00","6,075.00","6,075.00","6,100.01","4,825.00","2","12,150.00","1"
"08-May-2023","GB","6,050.05","6,080.00","6,050.00","6,100.01","6,050.00","6,050.00","6,051.44","6,100.01","4,825.00","21","1,27,080.20","7"
"05-May-2023","GB","6,100.01","6,100.01","6,100.01","6,100.01","6,100.01","6,100.01","6,100.01","6,100.01","4,803.00","3","18,300.03","1"
"04-May-2023","GB","6,100.01","6,100.01","6,100.01","6,025.01","6,100.01","6,100.01","6,100.01","6,100.01","4,803.00","20","1,22,000.20","1"
"03-May-2023","GB","6,025.00","6,025.01","6,025.00","6,010.00","6,025.01","6,025.01","6,025.01","6,050.00","4,803.00","17","1,02,425.10","2"
"28-Apr-2023","GB","6,010.00","6,010.00","6,010.00","6,050.00","6,010.00","6,010.00","6,010.00","6,050.00","4,803.00","3","18,030.00","1"
"26-Apr-2023","GB","6,050.00","6,050.00","6,050.00","6,000.01","6,050.00","6,050.00","6,050.00","6,050.00","4,803.00","60","3,63,000.00","2"
"19-Apr-2023","GB","6,000.00","6,041.00","6,000.00","6,000.01","6,000.01","6,000.01","6,003.74","6,041.00","4,803.00","22","1,32,082.19","5"
"13-Apr-2023","GB","6,000.01","6,000.01","6,000.01","6,000.01","6,000.01","6,000.01","6,000.01","6,039.00","4,803.00","2","12,000.02","1"
"12-Apr-2023","GB","6,039.00","6,039.00","6,000.01","5,930.00","6,000.01","6,000.01","6,017.34","6,039.00","4,803.00","9","54,156.05","3"
"11-Apr-2023","GB","5,930.00","5,930.00","5,930.00","5,930.01","5,930.00","5,930.00","5,930.00","5,994.54","4,803.00","1","5,930.00","1"
"10-Apr-2023","GB","5,930.01","5,930.01","5,930.01","5,994.54","5,930.01","5,930.01","5,930.01","5,994.54","4,803.00","10","59,300.10","1"
"05-Apr-2023","GB","5,994.54","5,994.54","5,994.54","5,875.00","5,994.54","5,994.54","5,994.54","5,994.54","4,720.00","32","1,91,825.28","16"
"03-Apr-2023","GB","5,850.00","5,875.00","5,850.00","5,855.00","5,875.00","5,875.00","5,874.62","5,990.00","4,720.00","133","7,81,325.00","8"
"31-Mar-2023","GB","5,855.00","5,855.00","5,855.00","5,830.00","5,855.00","5,855.00","5,855.00","5,990.00","4,720.00","28","1,63,940.00","4"
"29-Mar-2023","GB","5,840.00","5,840.00","5,830.00","5,815.00","5,830.00","5,830.00","5,836.67","5,990.00","4,720.00","3","17,510.00","2"
"28-Mar-2023","GB","5,800.00","5,825.00","5,800.00","5,900.00","5,815.00","5,815.00","5,813.73","5,990.00","4,720.00","51","2,96,500.00","5"
"27-Mar-2023","GB","5,850.00","5,900.00","5,850.00","5,880.00","5,900.00","5,900.00","5,897.17","5,990.00","4,720.00","106","6,25,100.00","4"
"24-Mar-2023","GB","5,880.00","5,880.00","5,880.00","5,990.00","5,880.00","5,880.00","5,880.00","5,990.00","4,720.00","3","17,640.00","1"
"22-Mar-2023","GB","5,990.00","5,990.00","5,990.00","5,900.00","5,990.00","5,990.00","5,990.00","5,990.00","4,720.00","1","5,990.00","1"
"20-Mar-2023","GB","5,890.50","5,900.00","5,890.50","5,760.50","5,900.00","5,900.00","5,892.26","5,900.00","4,720.00","27","1,59,091.00","3"
"17-Mar-2023","GB","5,735.00","5,761.01","5,735.00","5,700.00","5,761.01","5,760.50","5,752.00","5,761.01","4,720.00","30","1,72,560.10","7"
"16-Mar-2023","GB","5,675.00","5,700.00","5,675.00","5,630.00","5,700.00","5,700.00","5,697.73","5,700.00","4,720.00","11","62,675.00","5"
"14-Mar-2023","GB","5,630.00","5,630.00","5,630.00","5,560.00","5,630.00","5,630.00","5,630.00","5,646.46","4,720.00","2","11,260.00","1"
"10-Mar-2023","GB","5,560.00","5,560.00","5,560.00","5,589.00","5,560.00","5,560.00","5,560.00","5,646.46","4,720.00","30","1,66,800.00","2"
"08-Mar-2023","GB","5,480.00","5,589.00","5,433.00","5,481.09","5,589.00","5,589.00","5,502.74","5,646.46","4,720.00","39","2,14,607.01","6"
"02-Mar-2023","GB","5,492.00","5,492.00","5,480.00","5,480.00","5,480.00","5,481.09","5,481.09","5,646.46","4,669.00","22","1,20,584.00","4"
"01-Mar-2023","GB","5,480.00","5,480.00","5,480.00","5,480.00","5,480.00","5,480.00","5,480.00","5,646.46","4,669.00","21","1,15,080.00","3"
"24-Feb-2023","GB","5,480.00","5,480.00","5,480.00","5,463.00","5,480.00","5,480.00","5,480.00","5,646.46","4,645.00","1","5,480.00","1"
"23-Feb-2023","GB","5,463.00","5,463.00","5,463.00","5,546.80","5,463.00","5,463.00","5,463.00","5,646.46","4,645.00","14","76,482.00","2"
"21-Feb-2023","GB","5,639.00","5,639.00","5,546.80","5,639.00","5,546.80","5,546.80","5,594.61","5,646.46","4,645.00","113","6,32,190.40","25"
"20-Feb-2023","GB","5,535.00","5,639.00","5,535.00","5,535.00","5,639.00","5,639.00","5,539.95","5,646.46","4,645.00","21","1,16,339.00","4"
"16-Feb-2023","GB","5,500.00","5,535.00","5,500.00","5,510.00","5,535.00","5,535.00","5,526.25","5,646.46","4,645.00","4","22,105.00","2"
"13-Feb-2023","GB","5,510.00","5,510.00","5,510.00","5,600.00","5,510.00","5,510.00","5,510.00","5,646.46","4,645.00","5","27,550.00","1"
"10-Feb-2023","GB","5,600.00","5,600.00","5,600.00","5,615.35","5,600.00","5,600.00","5,600.00","5,646.46","4,562.00","1","5,600.00","1"
"09-Feb-2023","GB","5,550.00","5,629.95","5,550.00","5,640.00","5,629.95","5,615.35","5,588.08","5,646.46","4,562.00","41","2,29,111.40","7"
"02-Feb-2023","GB","5,625.00","5,640.00","5,625.00","5,542.00","5,640.00","5,640.00","5,627.50","5,646.46","4,562.00","12","67,530.00","2"
"31-Jan-2023","GB","5,544.00","5,544.00","5,542.00","5,525.00","5,542.00","5,542.00","5,543.20","5,646.46","4,562.00","5","27,716.00","2"
"30-Jan-2023","GB","5,525.00","5,525.00","5,525.00","5,510.00","5,525.00","5,525.00","5,525.00","5,646.46","4,562.00","10","55,250.00","3"
"25-Jan-2023","GB","5,510.00","5,510.00","5,510.00","5,514.75","5,510.00","5,510.00","5,510.00","5,646.46","4,562.00","2","11,020.00","1"
"24-Jan-2023","GB","5,514.75","5,514.75","5,514.75","5,500.00","5,514.75","5,514.75","5,514.75","5,646.46","4,562.00","2","11,029.50","1"
"23-Jan-2023","GB","5,500.00","5,500.00","5,500.00","5,500.00","5,500.00","5,500.00","5,500.00","5,646.46","4,562.00","30","1,65,000.00","2"
"20-Jan-2023","GB","5,500.00","5,500.00","5,400.00","5,401.95","5,500.00","5,500.00","5,483.98","5,646.46","4,562.00","156","8,55,500.25","16"
"19-Jan-2023","GB","5,401.95","5,401.95","5,401.95","5,430.00","5,401.95","5,401.95","5,401.95","5,646.46","4,562.00","4","21,607.80","1"
"18-Jan-2023","GB","5,433.30","5,439.00","5,360.00","5,425.00","5,430.00","5,430.00","5,380.96","5,646.46","4,562.00","301","16,19,670.35","29"
"17-Jan-2023","GB","5,450.00","5,450.00","5,425.00","5,448.00","5,425.00","5,425.00","5,427.82","5,646.46","4,562.00","133","7,21,900.01","9"
"16-Jan-2023","GB","5,450.00","5,450.00","5,448.00","5,450.00","5,448.00","5,448.00","5,448.40","5,646.46","4,562.00","75","4,08,630.00","7"
"13-Jan-2023","GB","5,470.01","5,480.00","5,450.00","5,480.00","5,450.00","5,450.00","5,460.06","5,646.46","4,562.00","160","8,73,610.25","12"
"12-Jan-2023","GB","5,470.00","5,480.00","5,470.00","5,475.00","5,480.00","5,480.00","5,477.00","5,646.46","4,562.00","65","3,56,005.00","4"
"11-Jan-2023","GB","5,475.00","5,475.00","5,475.00","5,485.00","5,475.00","5,475.00","5,475.00","5,646.46","4,562.00","30","1,64,250.00","2"
"10-Jan-2023","GB","5,450.00","5,485.00","5,450.00","5,450.00","5,485.00","5,485.00","5,453.50","5,646.46","4,562.00","10","54,535.00","2"
"09-Jan-2023","GB","5,400.00","5,450.00","5,400.00","5,400.00","5,450.00","5,450.00","5,442.73","5,646.46","4,562.00","11","59,870.00","3"
"06-Jan-2023","GB","5,400.00","5,400.00","5,400.00","5,400.00","5,400.00","5,400.00","5,400.00","5,646.46","4,562.00","8","43,200.00","2"
"05-Jan-2023","GB","5,400.00","5,400.00","5,400.00","5,410.00","5,400.00","5,400.00","5,400.00","5,646.46","4,562.00","18","97,200.00","3"
"04-Jan-2023","GB","5,304.00","5,410.00","5,304.00","5,300.00","5,410.00","5,410.00","5,345.06","5,646.46","4,562.00","34","1,81,732.10","8"
"03-Jan-2023","GB","5,300.00","5,300.00","5,300.00","5,325.00","5,300.00","5,300.00","5,300.00","5,646.46","4,562.00","6","31,800.00","1"
